feedback_id,feedback_text,customer_segment,date
FB001,"I love this app, it is so fast and the layout looks stunning!",Enterprise,"2026-05-01"
FB002,"Absolutely terrible experience. It keeps crashing on startup and loads slowly.",Retail,"2026-05-02"
FB003,"The support team was very helpful and resolved my refund request within minutes.",Enterprise,"2026-05-03"
FB004,"It works fine and does the job, but the loading speed is mediocre.",Retail,"2026-05-04"
FB005,"Wow! I am blown away by the bulk CSV analysis tool, it saved us hours of manual work.",SMB,"2026-05-05"
FB006,"The layout is confusing. Finding settings feels like a maze.",Retail,"2026-05-06"
FB007,"Excellent response times from the API, highly recommended for developers.",Developer,"2026-05-07"
FB008,"Highly disappointed with the pricing. The software has way too many bugs for this cost.",SMB,"2026-05-08"
FB009,"Average customer service. Not bad, but nothing to write home about.",Retail,"2026-05-09"
FB010,"The dark theme option is super clean and looks extremely premium.",Developer,"2026-05-10"
FB011,"I cannot upload my feedback file. It keeps giving me an unknown error.",Enterprise,"2026-05-11"
FB012,"It is adequate for basic sentiment tracking but lacks deep keyword reports.",SMB,"2026-05-12"
FB013,"Fantastic documentation! Made our onboarding process incredibly smooth.",Developer,"2026-05-13"
FB014,"Worst software update ever. It completely broke my dashboard visualization.",Retail,"2026-05-14"
FB015,"The charts are neat and show the breakdowns clearly.",SMB,"2026-05-15"
FB016,"An ordinary tool. Nothing particularly great or bad about it.",Retail,"2026-05-16"
FB017,"I am impressed with how responsive and lightweight the app is.",Developer,"2026-05-17"
FB018,"It takes forever to load the analytics dashboard. Please optimize it.",Enterprise,"2026-05-18"
FB019,"The customer service agent was completely unhelpful and rude.",Retail,"2026-05-19"
FB020,"Clean and minimal design. Navigation is extremely straightforward.",SMB,"2026-05-20"
FB021,"It works, but there is definitely room for improvement in speed.",Developer,"2026-05-21"
FB022,"This tool has become a core part of our customer tracking workflow. Great job!",Enterprise,"2026-05-22"
FB023,"Constant lags and frozen loading screens make this unusable.",Retail,"2026-05-23"
FB024,"Decent performance, but I wish it supported Excel formats directly.",SMB,"2026-05-24"
FB025,"Perfect solution for our business. Setup was a breeze.",Enterprise,"2026-05-25"
FB026,"The NLP cleaning step visualizer is highly educational and cool.",Developer,"2026-05-26"
FB027,"I hate the new interface, it's slow, ugly, and hard to understand.",Retail,"2026-05-27"
FB028,"The predictions are fairly accurate, but sometimes it misses subtle sarcasm.",Developer,"2026-05-28"
FB029,"Standard app experience. It functions as expected.",SMB,"2026-05-29"
FB030,"A lifesaver! Our client reviews are now automatically labeled in seconds.",Enterprise,"2026-05-30"
